,Set,Point,Area,GCP,Projections,Control_or_Check,Error_(m),Squared_Residual,Enable,X/Longitude,Y/Latitude,Z/Altitude,Easting,Northing,X_error,Y_error,Z_error,X_est,Y_est,Z_est
51,GroupA,3,Entire Basin,DT2,81.0,Control Point,0.005932,3.5188623999999996e-05,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.0035810000000000004,5e-06,0.004729,-106.183741,38.730512,2658.786729
56,GroupA,3,Entire Basin,RD2,14.0,Control Point,0.008537999999999999,7.289744399999998e-05,1.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.004816,-0.005425999999999999,0.004501,-106.185627,38.735308,3038.107501
59,GroupA,3,Entire Basin,RD5,8.0,Control Point,0.012831,0.00016463456100000002,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.001399,0.006218,0.011136,-106.189552,38.735007,3128.608136
36,GroupC,3,Ridge,T3,217.0,Check Point,0.016624,0.000276357376,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.013638999999999998,0.0066760000000000005,-0.006765,-106.186826,38.733321999999994,2763.744235
37,GroupC,3,Ridge,T4,194.0,Check Point,0.012043,0.000145033849,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.0070810000000000005,0.005446,0.008076,-106.18664799999999,38.73335,2759.106076
38,GroupC,3,Ridge,DT1,15.0,Check Point,0.045566,0.0020762603560000002,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,0.044502,-0.009255,0.003188,-106.183008,38.730469,2670.839188
39,GroupC,3,Ridge,DT2,81.0,Check Point,0.073005,0.005329730025,0.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.066834,-0.024914,-0.015561000000000002,-106.18373999999999,38.730512,2658.766439
40,GroupC,3,Ridge,DT3,153.0,Check Point,0.07113,0.0050594769,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,0.0251,-0.039761000000000005,-0.053372,-106.184471,38.731237,2683.124628
42,GroupC,3,Ridge,DT5,209.0,Check Point,0.036227999999999996,0.0013124679839999996,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,0.004567,-0.001562,0.035905,-106.185148,38.733289,2792.907905
43,GroupC,3,Ridge,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
44,GroupC,3,Ridge,RD2,14.0,Check Point,0.06091,0.0037100281,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.007556,0.030537,-0.052157,-106.185627,38.735309,3038.050843
45,GroupC,3,Ridge,RD3,56.0,Check Point,0.034802,0.001211179204,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.020876,0.00825,-0.026595,-106.187577,38.736354999999996,3028.4314050000003
41,GroupC,3,Ridge,DT4,239.0,Control Point,0.009323,8.6918329e-05,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,0.003336,-0.003442,0.007997,-106.185427,38.732221,2711.954997
46,GroupC,3,Ridge,RD4,49.0,Control Point,0.008493,7.213104900000001e-05,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,-0.001689,-0.000772,0.008288,-106.188272,38.73666,3012.208288
47,GroupC,3,Ridge,RD5,8.0,Control Point,0.005653,3.1956409e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.0015710000000000001,0.004415,0.0031620000000000003,-106.189552,38.735007,3128.600162
